"","coicop_code","susenas_code","susenas_item","food_group","food_name","habitat","method","food_prep","sciname","taxonomic_level","species","genus","family","order","class","phylum","kingdom","energy","protein","fat","dha_epa","carbohydrate","fiber","ash","retinol","beta_carotene","thiamin","riboflavin","niacin","vitamin_c","calcium","copper","iron","phosphorus","potassium","sodium","zinc","bdd"
"1","",16,"IKAN","IKAN","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01.1.3.1.017",17,"Ekor kuning","IKAN","Ekor kuning","Marine","Capture","Raw","caesio cuning","","caesio cuning","caesio","caesionidae","eupercaria","actinopterygii","chordata","animalia",100,19.5,1.5,0.263,0.1,0,1.5,7,0,0.11,70,8,0,51,0.071,0.5,290,510,48,1.39,0.5305
"3","01.1.3.1.069/72/13",18,"Tongkol, tuna, cakalang, dencis, ikan kayu","IKAN","Cakalang, dencis","Marine","Capture","Raw","actinopterygii","class",NA,NA,NA,NA,"actinopterygii","chordata","animalia",104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,0.517067264573991
"4","01.1.3.1.069/72/13",18,"Tongkol, tuna, cakalang, dencis, ikan kayu","IKAN","Tongkol","Marine","Capture","Raw","euthynnus affinis","","euthynnus affinis","euthynnus","scombridae","scombriformes","actinopterygii","chordata","animalia",144.651,19.85,0.855,0.132747,0.147,0,0.99,53.7,0,0.1268,88.5,14.27,0.24,11,0.11025,1.287,312,427,47,3.305,0.517067264573991
"5","01.1.3.1.069/72/13",18,"Tongkol, tuna, cakalang, dencis, ikan kayu","IKAN","Tuna","Marine","Capture","Raw","thunnus","genus",NA,"thunnus","scombridae","scombriformes","actinopterygii","chordata","animalia",118,19.85,1.4,0.23,0.1,0,1.3,13.5,0,0.07,85,15.635,1,9,0.05,1.4,248,400,44,0.5,0.517067264573991
"6","01.1.3.1.065",19,"Tenggiri","IKAN","Tenggiri","Marine","Capture","Raw","scomberomorus","genus",NA,"scomberomorus","scombridae","scombriformes","actinopterygii","chordata","animalia",120,19.6,4.6,0.893715,0,0,1.5,12,0,0.08,90,12,0,18.35,0.0313,0.65,231.6,373.5,51.6,0.78,0.517067264573991
"7","01.1.3.1.057",20,"Selar","IKAN","Selar","Marine","Capture","Raw","carangidae","family",NA,NA,"carangidae","carangiformes","actinopterygii","chordata","animalia",124.5,19.23,4.66,1.02,0.1,0,1.42,7,0,0.13,160,7.8,0.5,37,0.105,1.1,249.93195,397.5813,66,1.29,0.517067264573991
"8","01.1.3.1.028",21,"Kembung, lema/tatare, banyar/banyara","IKAN","Kembung, lema/tatare, banyar/banyara","Marine","Capture","Raw","rastrelliger","genus",NA,"rastrelliger","scombridae","scombriformes","actinopterygii","chordata","animalia",83.42,19.85,2.4,20.1124,0.056,0,1.3,16.5,0,0.115,135,14.27,0.65,1170.89,0.194,3.665,86.91,1203.61,70.005,2.32,0.517067264573991
"9","01.1.3.1.067",22,"Teri","IKAN","Teri","Marine","Capture","Raw","stolephorus","genus",NA,"stolephorus","engraulidae","clupeiformes","actinopterygii","chordata","animalia",87.41,2.367,2.055,0.9589,0.1985,0,1.31,24,0,0.04,150,11,0.5,715.48,1,2.8,312.035,2218,244,12.989,0.517067264573991
"10","01.1.3.1.003",23,"Bandeng","IKAN","Bandeng","Inland","Aquaculture","Raw","chanos chanos","","chanos chanos","chanos","chanidae","gonorynchiformes","actinopterygii","chordata","animalia",104,2.067,10.7,0.39767,0.314,0,2,0,0,0.09,130,7.69,0,19,0.083,0.4,350,347,84,0.8825,0.61
"11","01.1.3.1.018",24,"Gabus","IKAN","Gabus","Inland","Aquaculture; capture","Raw","channa striata","","channa striata","channa","channidae","anabantiformes","actinopterygii","chordata","animalia",86,13.9,5.7,0.49503,0.3,0,1.25,10,74,0.08,120,7.42,1,29,0.13,0.64,124,219.5,34.6,0.51,0.517067264573991
"12","01.1.3.1.045",25,"Mujair","IKAN","Mujair","Inland","Aquaculture","Raw","oreochromis mossambicus","","oreochromis mossambicus","oreochromis","cichlidae","cichliformes","actinopterygii","chordata","animalia",118,1.671,4.55,0.07946,0.2,0,1.2,2,0,0.51,130,6.77,0.5,19,0.023,0.5,350,347,60,0.75,0.37
